transportmean_name,line_number,order_number,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
METRO,1,0,est_4_263,263.0,pinarchamartin,Calle de Arturo Soria 330,40.480140000000006,-3.6668,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,1,est_4_262,262.0,bambu,Calle del Bambú 14,40.476820000000004,-3.67637,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,2,est_90_25,25.0,chamartin,Calle de Agustín de Foxá 40,40.4721,-3.68269,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,4,est_4_2,2.0,valdeacederas,Calle de Bravo Murillo 332,40.464420000000004,-3.69506,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,5,est_4_3,3.0,tetuan,Calle de Bravo Murillo 264,40.46055,-3.69825,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,6,est_4_4,4.0,estrecho,Calle de Bravo Murillo 191,40.45429,-3.7030199999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,7,est_4_5,5.0,alvarado,Calle de Bravo Murillo 138,40.45033,-3.7033099999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,8,est_4_6,6.0,cuatrocaminos,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,9,est_4_7,7.0,riosrosas,Calle de Ríos Rosas 22,40.44198,-3.7013300000000005,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,10,est_4_8,8.0,iglesia,Gta del Pintor Sorolla 2,40.43492,-3.69898,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,11,est_4_9,9.0,bilbao,Calle de Sagasta 2,40.42906,-3.7021800000000002,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,12,est_4_10,10.0,tribunal,Calle de Fuencarral 81,40.426190000000005,-3.7011,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,13,est_4_11,11.0,granvia,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,15,est_4_13,13.0,tirsomolina,Plaza de Tirso de Molina 7,40.41235,-3.70466,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,16,est_4_14,14.0,antonmartin,Calle de Atocha 50,40.412459999999996,-3.6993699999999996,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,17,est_4_15,15.0,estacionarte,Plaza del Emperador Carlos V 11,40.40885,-3.6924900000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,19,est_4_17,17.0,menendezpelayo,Avda de la Ciudad de Barcelona 23,40.40445,-3.6809800000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,20,est_4_18,18.0,pacifico,Avda de la Ciudad de Barcelona 79,40.40126,-3.6751400000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,21,est_4_19,19.0,puentevallecas,Avda de la Albufera 1,40.39819,-3.66906,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,22,est_4_20,20.0,nuevanumancia,Avda de la Albufera 70,40.395540000000004,-3.66414,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,23,est_4_21,21.0,portazgo,Avda de la Albufera 131,40.39266,-3.6586800000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,24,est_4_22,22.0,buenosaires,Avda de la Albufera 179,40.39156,-3.6539099999999998,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,1,25,est_4_23,23.0,altoarenal,Calle de Santillana del Mar 21,40.38977,-3.6452199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,26,est_4_24,24.0,miguelhernandez,Calle de León Felipe 4 A,40.38732,-3.63951,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,27,est_4_25,25.0,sierraguadalupe,Avda de la Democracia 1,40.38216,-3.6247199999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,28,est_4_26,26.0,villavallecas,Paseo de Federico García Lorca 2,40.3796,-3.6213,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,29,est_4_27,27.0,congosto,Calle del Congosto 48,40.37238,-3.61884,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,30,est_4_293,293.0,gavia,Avda del Ensanche de Vallecas 16,40.37019,-3.61346,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,31,est_4_294,294.0,suertes,Calle de Cañada del Santísimo 45,40.36323,-3.59953,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,1,32,est_4_295,295.0,valdecarros,Avda del Ensanche de Vallecas 120 A,40.36007,-3.5931599999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,2,0,est_4_325,325.0,rosas,Paseo de Ginebra 35,40.42375,-3.60331,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,1,est_4_324,324.0,avenidaguadalajara,Avda de Guadalajara 110,40.42239,-3.61206,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,2,est_4_323,323.0,alsacia,Plaza de Alsacia S/N,40.41829,-3.62351,,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,3,est_4_322,322.0,almudena,Calle de Arriaga 75,40.42361,-3.6391400000000003,,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,4,est_4_260,260.0,elipa,Avda del Marqués de Corbera 58,40.42662,-3.6505199999999998,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,2,5,est_4_28,28.0,ventas,Calle de Alcalá 204,40.43088,-3.6636599999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,6,est_4_29,29.0,manuelbecerra,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,7,est_4_30,30.0,goya,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,2,8,est_4_31,31.0,principevergara,Calle de Alcalá 123,40.422940000000004,-3.6801199999999996,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,9,est_4_32,32.0,retiro,Calle de Alcalá 81,40.42031,-3.68624,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,10,est_4_33,33.0,bancoespana,Calle de Alcalá 49,40.41922,-3.6949699999999996,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,13,est_4_36,36.0,opera,Plaza de Isabel II 9,40.41809,-3.7094199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,14,est_4_37,37.0,santodomingo,Calle de San Bernardo 11,40.42132,-3.70796,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,16,est_4_39,39.0,sanbernardo,Calle de San Bernardo 94,40.430009999999996,-3.70557,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,17,est_4_40,40.0,quevedo,Gta de Quevedo 1,40.43322,-3.70433,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,2,18,est_4_41,41.0,canal,Calle de Bravo Murillo 40,40.43841,-3.70433,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,2,19,est_4_6,6.0,cuatrocaminos,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,0,est_4_273,273.0,villaverdealto,Calle del Valle de Tobalina 56,40.341229999999996,-3.71199,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,1,est_4_272,272.0,sancristobal,Avda de Andalucía 81,40.34154,-3.6931800000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,2,est_4_271,271.0,villaverdebajocruce,Avda de Andalucía 38,40.35089,-3.69265,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,3,est_4_270,270.0,ciudadangeles,Avda de Andalucía 38,40.359590000000004,-3.69363,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,4,est_4_269,269.0,sanferminorcasur,Avda de Andalucía 9,40.36999,-3.6941800000000002,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,5,est_4_268,268.0,hospital12octubre,Avda de Córdoba 49,40.375029999999995,-3.69585,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,6,est_4_267,267.0,almendrales,Avda de Córdoba 21,40.38409,-3.6978800000000005,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,7,est_4_43,43.0,legazpi,Plaza de Legazpi 2 B,40.39116,-3.6951099999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,8,est_4_44,44.0,delicias,Paseo de las Delicias 60,40.3999,-3.6942,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,9,est_4_45,45.0,palosfrontera,Calle de Palos de la Frontera 33,40.40307,-3.69423,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,10,est_4_46,46.0,embajadores,Gta de Embajadores 10,40.40513,-3.7026800000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,11,est_4_47,47.0,lavapies,Plaza de Lavapiés 7,40.40851,-3.7009,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,13,est_4_49,49.0,callao,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,14,est_4_50,50.0,plazaespana,Plaza de España 1,40.42342,-3.7112,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,15,est_4_51,51.0,venturarodriguez,Calle de la Princesa 22,40.42709,-3.7134099999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,3,16,est_4_52,52.0,arguelles,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,0,est_4_52,52.0,arguelles,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,1,est_4_39,39.0,sanbernardo,Calle de San Bernardo 94,40.430009999999996,-3.70557,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,2,est_4_9,9.0,bilbao,Calle de Sagasta 2,40.42906,-3.7021800000000002,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,3,est_4_57,57.0,alonsomartinez,Plaza de Alonso Martínez 4,40.42772,-3.6959400000000002,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,4,est_4_58,58.0,colon,Plaza de Colón 2,40.42542,-3.69101,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,5,est_4_59,59.0,serrano,Calle de Goya 19,40.42543,-3.68663,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,6,est_4_60,60.0,velazquez,Calle de Núñez de Balboa 33,40.42503,-3.6829199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,7,est_4_30,30.0,goya,Calle de Alcalá 96,40.42455,-3.67591,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,8,est_4_62,62.0,lista,Calle del Conde de Peñalver 45,40.42917,-3.67541,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,9,est_4_63,63.0,diegoleon,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,11,est_4_65,65.0,prosperidad,Plaza de la Prosperidad 4,40.44419,-3.6748199999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,12,est_4_66,66.0,alfonsoxiii,Calle de López de Hoyos 190,40.44825,-3.66791,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,13,est_4_67,67.0,avenidapaz,Avda de Ramón y Cajal 107,40.453540000000004,-3.6611800000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,14,est_4_68,68.0,arturosoria,Calle de Arturo Soria 172,40.45583,-3.6561800000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,15,est_4_69,69.0,esperanza,Calle de Andorra 51,40.45945,-3.6458199999999996,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,4,16,est_4_70,70.0,canillas,Avda de Machupichu 64,40.463809999999995,-3.6356,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,17,est_4_71,71.0,marcristal,Gta del Mar de Cristal 1 B,40.469429999999996,-3.6383199999999998,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,18,est_4_72,72.0,sanlorenzo,Avda de la Barranquilla 9,40.474470000000004,-3.6395800000000005,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,19,est_4_73,73.0,parquesantamaria,Calle de Santa Virgilia 1,40.477109999999996,-3.6452400000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,20,est_4_264,264.0,hortaleza,Calle del Capitán Cortés 4,40.47537,-3.65257,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,21,est_4_265,265.0,manoteras,Calle de Bacares 24,40.47687,-3.6629,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,4,22,est_4_263,263.0,pinarchamartin,Calle de Arturo Soria 330,40.480140000000006,-3.6668,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,0,est_4_252,252.0,alamedaosuna,Calle de la Corbeta 14,40.45779,-3.5875199999999996,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,1,est_4_253,253.0,capricho,Calle de Pinos de Osuna 15,40.45347,-3.59401,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,2,est_4_74,74.0,canillejas,Calle de Alcalá 631,40.44942,-3.60816,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,3,est_4_75,75.0,torrearias,Calle de Alcalá 557,40.443740000000005,-3.61699,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,4,est_4_76,76.0,suanzes,Calle de Alcalá 527,40.44085,-3.62684,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,5,est_4_77,77.0,ciudadlineal,Calle de Arturo Soria 2,40.43805,-3.63816,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,6,est_4_78,78.0,pueblonuevo,Calle de Alcalá 372,40.43569,-3.6428199999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,7,est_4_79,79.0,quintana,Calle de la Virgen del Sagrario 2,40.43358,-3.64736,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,8,est_4_80,80.0,carmen,Calle de Raquel Méller 2,40.43189,-3.6575699999999998,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,9,est_4_28,28.0,ventas,Calle de Alcalá 204,40.43088,-3.6636599999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,10,est_4_63,63.0,diegoleon,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,11,est_4_83,83.0,nunezbalboa,Calle de Juan Bravo 20,40.43278,-3.68258,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,12,est_4_84,84.0,rubendario,Paseo de Eduardo Dato 33,40.43316,-3.68954,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,13,est_4_57,57.0,alonsomartinez,Plaza de Alonso Martínez 4,40.42772,-3.6959400000000002,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,14,est_4_86,86.0,chueca,Plaza de Chueca 7,40.42293,-3.6976199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,15,est_4_11,11.0,granvia,Calle   Gran Vía 23,40.42001,-3.7018,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,16,est_4_49,49.0,callao,Plaza del Callao 3,40.42014,-3.70566,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,17,est_4_36,36.0,opera,Plaza de Isabel II 9,40.41809,-3.7094199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,18,est_4_90,90.0,latina,Calle de San Millán 5,40.41128,-3.70816,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,19,est_4_91,91.0,puertatoledo,Gta de Puerta de Toledo 1,40.40704,-3.71105,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,21,est_4_93,93.0,piramides,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71138,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,22,est_4_94,94.0,marquesvadillo,Gta del Marqués de Vadillo 4,40.39736,-3.71596,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,23,est_4_95,95.0,urgel,Calle del Camino Viejo de Leganés 1,40.39335,-3.7236,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,24,est_4_96,96.0,oporto,Gta del Valle de Oro 13,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,25,est_4_97,97.0,vistaalegre,Calle de la Oca 74,40.38885,-3.73982,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,26,est_4_98,98.0,carabanchel,Gta del Ejército 1,40.38783,-3.7448699999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,27,est_4_99,99.0,eugeniamontijo,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,28,est_90_1,1.0,aluche,Calle de Valmojado 293,40.38563,-3.76085,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,29,est_4_101,101.0,empalme,Calle de Tembleque 105,40.390570000000004,-3.76535,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,5,30,est_4_102,102.0,campamento,Avda del Padre Piquer 7,40.39481,-3.76813,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,5,31,est_4_103,103.0,casacampo,Ctra del Zoo 1,40.403240000000004,-3.7610099999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,0,est_4_104,104.0,laguna,Calle de Cuart de Poblet 1,40.399229999999996,-3.7442900000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,1,est_4_105,105.0,carpetana,Calle   Vía Carpetana 141,40.3927,-3.74099,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,2,est_4_96,96.0,oporto,Gta del Valle de Oro 13,40.388459999999995,-3.7313199999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,3,est_4_107,107.0,opanel,Calle del Valle de Oro 50 A,40.3869,-3.7231300000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,5,est_4_109,109.0,usera,Calle de Amparo Usera 44,40.3871,-3.7069,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,6,est_4_43,43.0,legazpi,Plaza de Legazpi 2 B,40.39116,-3.6951099999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,7,est_4_259,259.0,arganzuelaplanetario,Calle del Bronce 1 A,40.3931,-3.6886400000000004,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,10,est_4_18,18.0,pacifico,Avda de la Ciudad de Barcelona 79,40.40126,-3.6751400000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,11,est_4_113,113.0,condecasal,Plaza del Conde de Casal 3,40.40697,-3.67041,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,12,est_4_114,114.0,sainzbaranda,Calle del Doctor Esquerdo 103,40.41507,-3.66951,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,13,est_4_115,115.0,odonnell,Calle del Doctor Esquerdo 47,40.42289,-3.6686,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,14,est_4_29,29.0,manuelbecerra,Plaza de Manuel Becerra 1,40.4279,-3.66926,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,15,est_4_63,63.0,diegoleon,Calle de Diego de León 69,40.43468,-3.67495,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,17,est_4_119,119.0,republicaargentina,Calle de Joaquín Costa 24,40.44379,-3.6840599999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,18,est_90_71,71.0,nuevosministerios,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69246,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,19,est_4_6,6.0,cuatrocaminos,Gta de Cuatro Caminos 2,40.44697,-3.7039699999999995,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,20,est_4_122,122.0,guzmanbueno,Calle de Guzmán el Bueno 118,40.44637,-3.7122900000000003,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,21,est_4_123,123.0,vicentealeixandre,Avda de Gregorio del Amo 4,40.44644,-3.7194300000000005,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,22,est_4_124,124.0,ciudaduniversitaria,Avda  Complutense 1,40.44356,-3.72678,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,6,24,est_4_52,52.0,arguelles,Calle de Alberto Aguilera 72,40.430659999999996,-3.71596,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,26,est_4_128,128.0,puertaangel,Paseo de Extremadura 26,40.4139,-3.72724,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,27,est_4_129,129.0,altoextremadura,Paseo de Extremadura 154,40.409929999999996,-3.73894,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,6,28,est_4_130,130.0,lucero,Calle de las Higueras 47,40.4051,-3.74534,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,0,est_4_296,296.0,hospitalhenares,Cmno del Tiro SN,40.417609999999996,-3.53453,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,1,est_4_292,292.0,henares,Avda de Algorta 12,40.417770000000004,-3.5271800000000004,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,2,est_4_291,291.0,jarama,Plaza   Guernica 1,40.42295,-3.52549,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,3,est_4_290,290.0,sanfernando,Calle de Gonzalo de Córdoba 24,40.424409999999995,-3.5354099999999997,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,4,est_4_289,289.0,rambla,Calle   Honduras 2,40.42514,-3.5479199999999995,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,5,est_4_288,288.0,cosladacentral,Calle del Doctor Fleming 41,40.42374,-3.5611900000000003,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,6,est_4_287,287.0,barriopuerto,Avda de España 8,40.4225,-3.5691900000000003,B1,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,7,est_4_286,286.0,estadiometropolitano,Avda de Arcentales 28,40.43339,-3.60015,A,http://www.crtm.es,1.0,,Europe/Madrid,2
METRO,7,8,est_4_132,132.0,musas,,40.432990000000004,-3.60788,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,7,9,est_4_133,133.0,sanblas,,40.42799,-3.6154699999999997,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,7,10,est_4_134,134.0,simancas,,40.42799,-3.62572,A,http://www.crtm.es,1.0,,Europe/Madrid,0
METRO,7,11,est_4_135,135.0,garcianoblejas,,40.42842,-3.6333,A,http://www.crtm.es,1.0,,Europe/Madrid,0
